Country,Intercentrality
Albania,0.763569995528087
Algeria,25056.199453985784
American Samoa,31823.096218998544
Angola,35251.07430700748
Anguilla,1044.6588960294612
Antigua and Barbuda,1309.4638959986623
Argentina,39120.974793996895
Aruba,32520.621401011012
Australia,84530.35253494512
Bahamas,6717.780396028422
Bahrain,42827.64807299874
Bangladesh,29187.598007000517
Barbados,3620.794126030989
Belgium,42.63316600001417
Belize,4448.186017988017
Benin,50841.84111900581
Bermuda,3822.555396000389
"Bonaire, Sint Eustatius and Saba",1250.5916260189842
Brazil,127460.00637800898
British Indian Ocean Territory,0.0
Brunei,23377.614707996603
Bulgaria,5434.422390018357
Cambodia,33732.069819001714
Cameroon,37527.994877008954
Canada,74727.93785201036
Cape Verde,58330.72842299845
Cayman Islands,3079.6703960101586
Chile,59541.71131899883
China,93968.28706199629
Christmas Island,24298.59617100074
Cocos (Keeling) Islands,0.0
Colombia,80070.75729999575
Comoros,44022.43186099897
"Congo, Dem. Rep.",48050.22503400268
"Congo, Rep.",29975.79626300116
Cook Islands,6791.675395999802
Costa Rica,41863.38464301522
Croatia,0.207751999842003
Cuba,7905.835396016948
Cura�ao,23252.444060995942
Cyprus,31456.827068977524
C�te d'Ivoire,98092.87462200923
Denmark,165184.6340749797
Djibouti,110323.12755500595
Dominica,1720.4091659896076
Dominican Republic,32228.1297850057
Ecuador,47015.76881899871
Egypt,157761.93135099695
Equatorial Guinea,22356.691018000478
Estonia,29857.778319004457
Faroe Islands,107.02316599874757
Fiji,28285.797112014843
Finland,48920.47626899765
France,176287.66149399057
French Guiana,44784.46261901618
French Polynesia,7030.395395992324
Gabon,50841.84111900232
Gambia,24405.938518002396
Georgia,1922.1328960098326
Germany,48232.94062100444
Ghana,52912.23881100514
Gibraltar,23488.518375999527
Greece,32629.16907497309
Greenland,1359.51039601909
Grenada,1457.8991660221945
Guadeloupe,4311.276125998702
Guam,47120.29324701987
Guatemala,89839.35399302212
Guernsey,18573.72272100509
Guinea,24405.938518002396
Guinea-Bissau,24405.938518002396
Guyana,2310.9338960149325
Haiti,4085.230395997409
Honduras,6803.331018005963
Iceland,1771.2341260025278
India,79358.87157800561
Indonesia,76353.38300499623
Iran,44218.336572993314
Iraq,42659.0032609934
Ireland,59896.06601900235
Isle of Man,18.428565989714116
Israel,6114.417550977785
Italy,100600.5319320038
Jamaica,11710.630965991877
Japan,106942.51459301333
Jersey,34719.7478560023
Jordan,338.75716599286534
Kenya,54676.02894299035
Kiribati,0.0
Kuwait,42870.65826099389
Latvia,1.3419100113678724
Lebanon,27718.75928600668
Liberia,24405.938518002396
Libya,23520.778375998372
Lithuania,1552.3225539985579
Madagascar,54191.80884300964
Malaysia,95210.95533900382
Maldives,963.4203959924635
Malta,22501.93184499815
Marshall Islands,78.14316601189785
Martinique,13427.732896015048
Mauritania,13568.377318000421
Mauritius,14419.395395999774
Mayotte,3568.8553959948476
Mexico,41166.39964299346
Micronesia,23555.86633801274
Monaco,23288.77408600482
Montserrat,624.8766660073306
Morocco,61034.894930998795
Mozambique,45016.70144300186
Myanmar,64660.784418001305
Namibia,29975.796263001394
Netherlands,64183.586095998995
New Caledonia,107.5531659887638
New Zealand,46598.56460200157
Nicaragua,4714.411018011393
Nigeria,54690.870381007204
Niue,6791.675396000268
Northern Mariana Islands,777.9348160056397
Norway,91669.46078899992
Oman,76058.31372600025
Pakistan,72275.79522600002
Palau,23475.776338001247
Panama,71522.17226799484
Papua New Guinea,13172.002796000568
Peru,46839.07131899847
Philippines,65937.89122099034
Poland,0.8743039865512401
Portugal,85061.6436200072
Qatar,47753.298884996446
Romania,4178.6578960111365
Russia,15405.445791998645
R�union,14635.11539599509
Saint Barth�lemy,1046.3778959915508
"Saint Helena, Ascension and Tristan da Cunha",0.0
Saint Kitts and Nevis,1893.7673960295506
Saint Lucia,2819.8703960271087
Saint Martin,5722.667705979897
Saint Pierre and Miquelon,6660.035396000138
Saint Vincent and the Grenadines,1944.839166016318
Samoa,19482.142086002277
Sao Tome and Principe,24027.705396000994
Saudi Arabia,102026.70416199183
Senegal,44648.756807007594
Seychelles,54.463166006375104
Sierra Leone,24405.938518002396
Singapore,97177.32036099676
Sint Maarten,1193.6413960107602
Solomon Islands,7748.595396000193
Somalia,51651.40394300176
South Africa,86133.2621069958
South Korea,68120.35875799693
Spain,59918.68649800285
Sri Lanka,47479.45974098821
Sudan,42075.2031310047
Suriname,949.6366660129279
Sweden,73780.49973899638
Syria,2.322626013075933
Taiwan,71975.03593299398
Tanzania,45070.84460900817
Thailand,89236.17989599518
Timor-Leste,0.0
Togo,55875.19261100236
Tokelau,0.0
Tonga,39671.53900801134
Trinidad and Tobago,12521.763896038523
Tunisia,11555.953083996661
Turkey,42419.50311001227
Turks and Caicos Islands,4230.730396006256
Uganda,19178.928771001054
Ukraine,2666.835396000184
United Arab Emirates,104245.34997399081
United Kingdom,164623.7607179857
United States,363894.5195590041
Uruguay,26127.97274299548
Vanuatu,54.46316600614227
Venezuela,20287.752896003425
Vietnam,59087.802712995326
Virgin Islands (U.K.),29971.670196030987
Virgin Islands (U.S.),9005.19539602357
Wallis and Futuna,11571.415395984659
Yemen,64267.99522600183
