Country,KatzBonacich
Albania,1.0000053749889806
Algeria,1.2059761970777554
American Samoa,1.0000925799972387
Angola,1.2306513329762694
Anguilla,1.00204742617677
Antigua and Barbuda,1.0044443963589702
Argentina,1.0369258831434545
Aruba,1.0000995060798294
Australia,1.1563909898460478
Bahamas,1.0523128634271794
Bahrain,1.559507271367427
Bangladesh,1.0886413921663927
Barbados,1.006874592341252
Belgium,1.0003673741511006
Belize,1.0165786958802387
Benin,1.1564342774409218
Bermuda,1.0346069409919798
"Bonaire, Sint Eustatius and Saba",1.007350209136575
Brazil,1.1524012013455351
British Indian Ocean Territory,1.0
Brunei,1.3283909849920725
Bulgaria,1.0282692962898479
Cambodia,1.0
Cameroon,1.2306513329762696
Canada,1.1446868423275551
Cape Verde,1.2204653169665758
Cayman Islands,1.0146026280651894
Chile,1.035313338725957
China,2.3379859972530963
Christmas Island,1.0
Cocos (Keeling) Islands,1.0
Colombia,1.171804311991894
Comoros,1.40410669891016
"Congo, Dem. Rep.",1.2204653169665758
"Congo, Rep.",1.2204653169665758
Cook Islands,1.0
Costa Rica,1.035204017020874
Croatia,1.0000010466326823
Cuba,1.0104607284663767
Cura�ao,1.0749113747049426
Cyprus,1.302310815403537
C�te d'Ivoire,1.5480188428341148
Denmark,1.704229651867949
Djibouti,1.7199082486800856
Dominica,1.0045377381889644
Dominican Republic,1.0990385596594254
Ecuador,1.0389828299993404
Egypt,2.753730333225941
Equatorial Guinea,1.1462452161545023
Estonia,1.687343318043817
Faroe Islands,1.0008857112332812
Fiji,1.064952721357044
Finland,1.6950833962656267
France,2.0903824749269013
French Guiana,1.036758671481017
French Polynesia,1.0011958013452718
Gabon,1.1564342774409213
Gambia,1.1372047325665358
Georgia,1.011996588871765
Germany,1.3774573839164945
Ghana,1.4303388863340298
Gibraltar,1.2193323799081714
Greece,1.0338890454756857
Greenland,1.0051073658331002
Grenada,1.0045229025678049
Guadeloupe,1.0138533485958807
Guam,1.1887153604522394
Guatemala,1.0898106901453195
Guernsey,1.213820275344855
Guinea,1.1372047325665362
Guinea-Bissau,1.1372047325665362
Guyana,1.0024301122024681
Haiti,1.016307930158916
Honduras,1.022672835691465
Iceland,1.0104757642368523
India,2.565876744097547
Indonesia,1.0704121171052565
Iran,1.5826111412193347
Iraq,1.5494068430472776
Ireland,1.0899515344698936
Isle of Man,1.0001581472245658
Israel,1.0417810226301314
Italy,1.816494287865373
Jamaica,1.0670934996240757
Japan,2.416297636061909
Jersey,1.4588125473550027
Jordan,1.0048613787604557
Kenya,1.4869742939450525
Kiribati,1.0
Kuwait,1.5554473081608076
Latvia,1.0000080458537925
Lebanon,1.4735402803446107
Liberia,1.1372047325665362
Libya,1.218501846791819
Lithuania,1.0000298519357758
Madagascar,1.4081602569679406
Malaysia,1.4584021950211397
Maldives,1.0085577058671693
Malta,1.3363455262235722
Marshall Islands,1.0003242280294613
Martinique,1.0457591546535483
Mauritania,1.117725620345491
Mauritius,1.003940236510723
Mayotte,1.0034840875766604
Mexico,1.0422232818099477
Micronesia,1.0003242280294609
Monaco,1.2171865985312578
Montserrat,1.0023915097896112
Morocco,1.0070425520142752
Mozambique,1.481274580636956
Myanmar,1.0
Namibia,1.2204653169665753
Netherlands,1.0143354878154711
New Caledonia,1.000685112090064
New Zealand,1.0646563993396663
Nicaragua,1.0160020501309426
Nigeria,1.4303388863340303
Niue,1.0
Northern Mariana Islands,1.0000041045321795
Norway,1.011755972835216
Oman,1.6145889175621748
Pakistan,1.843005145458222
Palau,1.0
Panama,1.1128267669313983
Papua New Guinea,1.0260507809509758
Peru,1.1034748575147002
Philippines,1.9777402620630509
Poland,1.0000078881485384
Portugal,1.600092329083967
Qatar,1.5593672370666114
Romania,1.0165521421747763
Russia,1.234076911423502
R�union,1.0056061331987691
Saint Barth�lemy,1.0060769929909823
"Saint Helena, Ascension and Tristan da Cunha",1.0
Saint Kitts and Nevis,1.0045576636798625
Saint Lucia,1.0081041322360529
Saint Martin,1.0293678071569912
Saint Pierre and Miquelon,1.0
Saint Vincent and the Grenadines,1.0044329677837804
Samoa,1.0000925799972384
Sao Tome and Principe,1.1774821345718511
Saudi Arabia,2.6299362226278666
Senegal,1.3139117987825422
Seychelles,1.000438880349701
Sierra Leone,1.137204732566536
Singapore,2.268796772690397
Sint Maarten,1.0022320653423873
Solomon Islands,1.0
Somalia,1.40410669891016
South Africa,1.7184161829958815
South Korea,1.9062256738526302
Spain,1.3542504081559483
Sri Lanka,1.0411638306413797
Sudan,1.42557271699194
Suriname,1.0024301122024681
Sweden,1.983162795136185
Syria,1.0000203136756234
Taiwan,1.8895264718187437
Tanzania,1.4815598480166459
Thailand,1.1877517845387788
Timor-Leste,1.0
Togo,1.2204653169665756
Tokelau,1.0
Tonga,1.0003154694178502
Trinidad and Tobago,1.0484458656148194
Tunisia,1.0986268737112306
Turkey,1.2067808044051616
Turks and Caicos Islands,1.0167289083776476
Uganda,1.0
Ukraine,1.0
United Arab Emirates,2.5479282238241407
United Kingdom,1.5874191987764206
United States,2.0183761480384574
Uruguay,1.000048532396704
Vanuatu,1.0
Venezuela,1.139970921143452
Vietnam,1.1301680822531663
Virgin Islands (U.K.),1.0084277949773786
Virgin Islands (U.S.),1.0480921544947321
Wallis and Futuna,1.0
Yemen,1.0199789498185146
