Country,KatzBonacich
Albania,1.000023552991844
Algeria,1.0
American Samoa,1.0
Angola,1.0
Anguilla,1.0138893828404631
Antigua and Barbuda,1.0139855168200638
Argentina,1.0000034989187245
Aruba,1.0006252581382298
Australia,1.0
Bahamas,1.0190740840946344
Bahrain,1.0003806413113159
Bangladesh,1.0
Barbados,1.013937611052896
Belgium,1.0000709521829825
Belize,1.0
Benin,1.0
Bermuda,1.0
"Bonaire, Sint Eustatius and Saba",1.0
Brazil,1.0
British Indian Ocean Territory,1.0
Brunei,1.0
Bulgaria,1.1127839598272362
Cambodia,1.0
Cameroon,1.0
Canada,1.1430556307097584
Cape Verde,1.0
Cayman Islands,1.0553907004452712
Chile,1.0
China,1.006297897975416
Christmas Island,1.0
Cocos (Keeling) Islands,1.0
Colombia,1.0
Comoros,1.0
"Congo, Dem. Rep.",1.0
"Congo, Rep.",1.0
Cook Islands,1.0
Costa Rica,1.0
Croatia,1.0000056537753061
Cuba,1.0
Cura�ao,1.0007256815583956
Cyprus,1.0357341013427697
C�te d'Ivoire,1.0
Denmark,2.000174179650185
Djibouti,1.0000624843769494
Dominica,1.0140337473264829
Dominican Republic,1.0001986883759857
Ecuador,1.0
Egypt,1.0159707903842128
Equatorial Guinea,1.0
Estonia,1.0002875012008148
Faroe Islands,1.0
Fiji,1.0
Finland,1.000364970638646
France,1.0000709521829825
French Guiana,1.0
French Polynesia,1.0
Gabon,1.0
Gambia,1.0
Georgia,1.0
Germany,1.0761623861387188
Ghana,1.0
Gibraltar,1.0098474887758264
Greece,1.0000145538884664
Greenland,1.0
Grenada,1.0138893828404631
Guadeloupe,1.0209551499565168
Guam,1.000023305759536
Guatemala,1.0
Guernsey,1.0000187064950785
Guinea,1.0
Guinea-Bissau,1.0
Guyana,1.0
Haiti,1.0
Honduras,1.0
Iceland,1.0
India,1.0190649182317726
Indonesia,1.0
Iran,1.0326560722837759
Iraq,1.0
Ireland,1.003441180874655
Isle of Man,1.0000540655634327
Israel,1.0
Italy,1.0102575573812735
Jamaica,1.0553907004452714
Japan,1.0699035807136286
Jersey,1.0000020682242825
Jordan,1.0127934255734203
Kenya,1.0
Kiribati,1.0
Kuwait,1.0003806413113157
Latvia,1.0000233969725567
Lebanon,1.0000352674876476
Liberia,1.0
Libya,1.0007574564391835
Lithuania,1.0002030887006441
Madagascar,1.0
Malaysia,1.0063371944931523
Maldives,1.0
Malta,1.0000032823112368
Marshall Islands,1.0
Martinique,1.0209551499565164
Mauritania,1.0
Mauritius,1.0
Mayotte,1.0
Mexico,1.0
Micronesia,1.0
Monaco,1.0000035663574014
Montserrat,1.0
Morocco,1.0000232642023628
Mozambique,1.0
Myanmar,1.0
Namibia,1.0
Netherlands,1.0721874161709293
New Caledonia,1.0
New Zealand,1.0
Nicaragua,1.0
Nigeria,1.0
Niue,1.0
Northern Mariana Islands,1.0000233057595362
Norway,1.0567617463860626
Oman,1.0
Pakistan,1.0
Palau,1.0
Panama,1.0
Papua New Guinea,1.0
Peru,1.0
Philippines,1.0
Poland,1.0000624859143097
Portugal,1.0
Qatar,1.000380641311316
Romania,1.112783959827236
Russia,1.0
R�union,1.0
Saint Barth�lemy,1.0
"Saint Helena, Ascension and Tristan da Cunha",1.0
Saint Kitts and Nevis,1.0139376110528957
Saint Lucia,1.0139855168200635
Saint Martin,1.0
Saint Pierre and Miquelon,1.0
Saint Vincent and the Grenadines,1.0139369548482777
Samoa,1.0
Sao Tome and Principe,1.0
Saudi Arabia,1.0127870975089004
Senegal,1.0
Seychelles,1.0
Sierra Leone,1.0
Singapore,1.0
Sint Maarten,1.0139369548482777
Solomon Islands,1.0
Somalia,1.0
South Africa,1.0
South Korea,1.0064861025107963
Spain,1.0063339742419657
Sri Lanka,1.0
Sudan,1.0
Suriname,1.0
Sweden,2.0002859375303106
Syria,1.0000669927216288
Taiwan,1.0
Tanzania,1.0
Thailand,1.009471102517373
Timor-Leste,1.0
Togo,1.0
Tokelau,1.0
Tonga,1.0
Trinidad and Tobago,1.0069683116914552
Tunisia,1.0
Turkey,1.1436002070890197
Turks and Caicos Islands,1.0
Uganda,1.0
Ukraine,1.0
United Arab Emirates,1.0453209065211857
United Kingdom,1.1355897241790094
United States,1.2720030228733814
Uruguay,1.0000034989187248
Vanuatu,1.0
Venezuela,1.0
Vietnam,1.0
Virgin Islands (U.K.),1.0069683116914552
Virgin Islands (U.S.),1.0
Wallis and Futuna,1.0
Yemen,1.0000624843769494
