COUNTRY,Cen_X,Cen_Y,color
Afghanistan,7354426.751,4017623.342,#FF0000
Albania,2027575.547,4986812.025,#FF0600
Algeria,292675.408,3302605.634,#FF0C00
American Samoa,-18846651.73,-1418908.061,#FF1200
Andorra,175526.2125,5243533.639,#FF1800
Angola,1959502.248,-1368616.266,#FF1E00
Anguilla,-6923499.931,3565740.926,#FF2400
Antarctica,1023876.31,-21253783.04,#FF2A00
Antigua and Barbuda,-6527517.883,3855484.963,#FF3000
Argentina,-7281321.815,-4384891.542,#FF3600
Armenia,5003055.79,4908625.167,#FF3C00
Aruba,-7991791.764,1042130.855,#FF4200
Australia,14983958.95,-3028248.355,#FF4800
Austria,1574992.183,6041084.644,#FF4E00
Azerbaijan,5691162.489,5317502.908,#FF5400
Azores,-3040721.754,4627430.481,#FF5B00
Bahamas,-8560480.028,3184706.783,#FF6100
Bahrain,5752068.353,2439220.682,#FF6700
Bangladesh,10048142.91,2736358.648,#FF6D00
Barbados,-6035376.062,681935.511,#FF7300
Belarus,3123170.238,7092307.359,#FF7900
Belgium,368551.534,7232614.139,#FF7F00
Belize,-9858758.349,2292341.849,#FF8500
Benin,413089.521,866345.072,#FF8B00
Bermuda,-7184008.433,4322704.076,#FF9100
Bhutan,10066539.82,3175715.443,#FF9700
Bolivia,-7198462.994,-1895539.399,#FF9D00
"Bonaire, Sint Eustatius and Saba",-7209330.391,1692410.948,#FFA300
Bosnia and Herzegovina,1979639.596,5492969.624,#FFAA00
Botswana,2650482.408,-2539149.741,#FFB000
Bouvet Island,379879.6565,-7250471.186,#FFB600
Brazil,-5883315.978,-1444513.929,#FFBC00
British Indian Ocean Territory,8063319.374,-818686.643,#FFC200
Virgin Islands (U.K.),-7479315.142,2445383.98,#FFC800
Brunei,13086327.7,1001415.679,#FFCE00
Bulgaria,3012494.86,5287550.893,#FFD400
Burkina Faso,-193347.2473,1378274.849,#FFDA00
Burundi,3327016.51,-373865.9003,#FFE000
Cape Verde,-2668265.253,1802913.739,#FFE600
Cambodia,11762178.32,1465602.959,#FFEC00
Cameroon,1457598.339,719252.475,#FFF200
Canada,-10822807.06,10365596.37,#FFF800
Canarias,-1744604.292,3291723.106,#FFFF00
Cayman Islands,-9078312.881,1934092.618,#F8FF00
Central African Republic,2280518.062,734030.7268,#F2FF00
Chad,2078247.027,1743310.457,#ECFF00
Chile,-7960997.478,-4932625.697,#E6FF00
Christmas Island,11976777.44,-1626264.553,#E0FF00
Cocos (Keeling) Islands,10691069.05,-1535720.529,#DAFF00
Colombia,-8286361.396,48521.432,#D4FF00
Comoros,4784006.59,-1383298.611,#CEFF00
"Congo, Rep.",1886608.681,-46473.665,#C8FF00
"Congo, Dem. Rep.",2633676.679,-323358.64,#C2FF00
Cook Islands,-17689405.49,-2385359.008,#BCFF00
Costa Rica,-9364607.721,902999.057,#B6FF00
C�te d'Ivoire,-618457.8732,852929.6242,#B0FF00
Croatia,1907444.477,5911488.363,#AAFF00
Cuba,-8969594.899,2902789.538,#A3FF00
Cura�ao,-7677437.45,1367108.275,#9DFF00
Cyprus,3537574.281,5024894.155,#97FF00
Czech Republic,1707060.076,6403399.465,#91FF00
Denmark,1128875.27,7903813.347,#8BFF00
Djibouti,4607314.806,815972.457,#85FF00
Dominica,-6232559.623,2753160.271,#7FFF00
Dominican Republic,-7909142.934,2137872.43,#79FF00
Ecuador,-8783780.793,-278520.821,#73FF00
Egypt,3131182.054,2967313.902,#6DFF00
El Salvador,-9892613.254,1544105.747,#67FF00
Equatorial Guinea,1011831.896,234832.674,#61FF00
Eritrea,4324314.224,1731677.262,#5BFF00
Estonia,2805213.645,8370342.746,#54FF00
Eswatini,3506292.619,-3069180.622,#4EFF00
Ethiopia,4409509.776,967306.4165,#48FF00
Falkland Islands,-6608441.953,-6753076.909,#42FF00
Faroe Islands,-765840.177,8871821.908,#3CFF00
Fiji,19147475.75,-1974105.381,#36FF00
Finland,2927954.129,9585658.274,#30FF00
France,369382.819,5824494.265,#2AFF00
French Guiana,-5610958.355,340159.327,#24FF00
French Polynesia,-16307602.37,-1683299.12,#1EFF00
French Southern Territories,7669361.609,-6309104.63,#18FF00
Gabon,1379881.371,-594350.705,#12FF00
Gambia,-2069110.15,1717930.079,#0CFF00
Georgia,4928389.593,5929525.595,#06FF00
Germany,1256487.502,6720299.46,#00FF00
Ghana,-85166.754,1621211.105,#00FF06
Gibraltar,-691770.197,3696148.022,#00FF0C
Glorioso Islands,5264404.26,-1296381.238,#00FF12
Greece,2543892.05,4794871.269,#00FF18
Greenland,-4582325.811,14008437,#00FF1E
Grenada,-6759502.902,367636.739,#00FF24
Guadeloupe,-7165695.108,704259.995,#00FF2A
Guam,16001498.88,1294726.538,#00FF30
Guatemala,-10245521.57,1768252.841,#00FF36
Guernsey,-627583.29,6309891.796,#00FF3C
Guinea,-1088756.405,1393187.198,#00FF42
Guinea-Bissau,-1833059.874,889602.254,#00FF48
Guyana,-6366224.158,20387.642,#00FF4E
Haiti,-8300145.804,1700623.823,#00FF55
Heard Island and McDonald Islands,8181808.72,-6999927.612,#00FF5B
Honduras,-9819054.092,1276447.389,#00FF61
Hungary,2162025.114,5971234.665,#00FF67
Iceland,-2070917.357,9615173.232,#00FF6D
India,8861649.889,2702461.804,#00FF73
Indonesia,13094237.82,-444072.372,#00FF79
Iran,6178750.788,4884937.519,#00FF7F
Iraq,4647518.062,5020691.357,#00FF85
Ireland,-1040189.077,6876456.473,#00FF8B
Isle of Man,-879851.214,7935316.883,#00FF91
Israel,4054862.789,3025495.867,#00FF97
Italy,1377075.317,5272596.283,#00FF9D
Jamaica,-8661288.704,2209286.777,#00FFA3
Japan,15382251.14,4561654.809,#00FFA9
Jersey,-224832.017,6049083.846,#00FFB0
Jordan,3879146.453,4087264.522,#00FFB6
Juan De Nova Island,4758212.228,-1928333.608,#00FFBC
Kazakhstan,7428373.77,6157294.504,#00FFC2
Kenya,4179862.46,-840825.652,#00FFC8
Kiribati,-17194456.05,204258.718,#00FFCE
Kuwait,5220128.522,4993202.425,#00FFD4
Kyrgyzstan,8301277.641,5084303.569,#00FFDA
Laos,11548817.54,2100846.149,#00FFE0
Latvia,2940989.099,7433723.669,#00FFE6
Lebanon,4058226.393,5026199.452,#00FFEC
Lesotho,3143900.93,-3450206.696,#00FFF2
Liberia,-1140739.656,-13367.104,#00FFF8
Libya,2003280.146,3144492.935,#00FFFF
Liechtenstein,1063575.608,5966907.735,#00F8FF
Lithuania,2535852.309,7429439.04,#00F2FF
Luxembourg,677672.9702,6406807.173,#00ECFF
Madagascar,5175830.51,-2484621.914,#00E6FF
Madeira,-1890755.441,3861897.777,#00E0FF
Malawi,3819433.798,-1486921.917,#00DAFF
Malaysia,12386358.83,676903.599,#00D4FF
Maldives,8154392.573,359294.559,#00CEFF
Mali,-389762.7855,1973203.513,#00C8FF
Malta,1674586.842,3998919.18,#00C2FF
Marshall Islands,18771426.43,855549.017,#00BCFF
Martinique,-6105669.39,1739943.607,#00B6FF
Mauritania,-1080702.012,2374549.393,#00B0FF
Mauritius,6530793.972,-2267536.463,#00A9FF
Mayotte,5274402.037,-1324137.222,#00A3FF
Mexico,-11433849.07,2776929.598,#009DFF
Micronesia,17744510.56,724423.889,#0097FF
Moldova,3169220.105,5976124.668,#0091FF
Monaco,800293.943,4814858.394,#008BFF
Mongolia,11470924.85,5937463.507,#0085FF
Montenegro,2143278.101,5280671.962,#007FFF
Montserrat,-6534763.371,1995064.027,#0079FF
Morocco,-1154609.54,3447106.202,#0073FF
Mozambique,3898640.784,-2251484.927,#006DFF
Myanmar,10624188.21,2499922.656,#0067FF
